Contestant,Question,Label
Al Schaeffer,What tool allows TV broadcasters to draw directly over the action on a replay?,wh-subject
Al Schaeffer,"A ""remainder"" is most often associated with what mathematical operation?",in-situ
Al Schaeffer,"In which country does most of the action in the movie ""Casablanca"" take place?",ex-situ
Al Schaeffer,Which of the following people is currently the United States Secretary of the Interior?,wh-subject
Al Schaeffer,What trademark accessory did Dallas Cowboys head coach Tom Landry always wear on the sidelines?,ex-situ
Al Schaeffer,"Which of the following rock stars was not in the plane crash referred to in the song ""American Pie""?",wh-subject
Al Schaeffer,"Which of the following played a recurring character on the TV series ""Star Trek: The Next Generation""?",wh-subject
Al Schaeffer,Which of these U.S. states is not called a Commonwealth?,wh-subject
Al Schaeffer,What name does caricaturist Al Hirschfeld hide in most of his drawings?,ex-situ
Al Schaeffer,"Who was the focus of the 1944 ""Columbus Day Riot"" when thousands of his fans took over Times Square?",wh-subject
Al Schaeffer,"The events described in the book ""Catcher in the Rye"" take place over how many days?",in-situ
Al Schaeffer,"According to an old saying, a person who works late into the night is ""burning the midnight"" what?",in-situ
Al Schaeffer,"If you serve someone a ""knuckle sandwich,"" what do you give them?",ex-situ
Al Schaeffer,Which of these is a crustacean commonly found on the bottom of boats?,wh-subject
Al Schaeffer,Approximately how many fluid ounces are in a standard 355 ml soft-drink can?,wh-subject
Al Schaeffer,What artificial singing technique does a man use to hit notes above his natural vocal range?,ex-situ
Al Schaeffer,For what NBA team did former presidential candidate Bill Bradley play?,ex-situ
Al Schaeffer,"On the TV series ""Seinfeld,"" Elaine worked at what mail-order clothing company?",in-situ
Al Schaeffer,Pot stickers are another name for what Chinese dish?,in-situ
Al Schaeffer,"The Pimlico Race Course, home of the Preakness Stakes, is located in what city?",in-situ
Al Schaeffer,"What is the name of the King of the Fairies in Shakespeare's ""A Midsummer Night's Dream""?",wh-subject
Al Schaeffer,"Which of the following symbols appears on the official flags of Turkey, Pakistan and Tunisia?",wh-subject
Al Schaeffer,Who was the first African-American keynote speaker at a Democratic National Convention?,wh-subject
Al Schaeffer,"Who wrote the poem recited at the funeral in the 1994 film ""Four Weddings and a Funeral""?",wh-subject
Alan Gegax,"What is the first line uttered by rapper Sir-Mix-a-Lot in his 1992 ode to derrières, ""Baby Got Back""?",wh-subject
Alan Gegax,"Billionaire Ross Perot is one of the most famous people born in what southern city, whose name is a mashup of three surrounding states?",in-situ
Alan Gegax,"Before each performance of Broadway's ""Hamilton,"" tickets are raffled off to a few lucky fans for what low - and appropriate - price?",in-situ
Alan Gegax,"Inspired by the infamous crime that captivated the country at the time, the Federal Kidnapping Act of 1932 is also known as the what?",in-situ
Alan Gegax,"Great for people who don't want to mess with the chemical DEET, the website Backdoor Survival says that clove oil can work as an effective what?",in-situ
Alan Gegax,"To aid proper hand placement, standard QWERTY keyboards generally include small bumps on the keys where your pointer fingers go. What are these keys?",in-situ
Alan Gegax,"As seen in the film ""Big Eyes,"" in 1986 a conflict between Margaret and Walter Keane was famously decided by the staging of a courtroom what?",in-situ
Alan Gegax,"Pointing to examples like Canopus, The Pointers and The Jewel Box, a recent NYT op-ed claimed that what ""is better in the Southern Hemisphere""?",in-situ
Alan Gegax,"According to Statista.com, by a wide margin, what is the best-selling imported beer in the United States?",wh-subject
Alan Gegax,Which of these '80s comedies stars an actor whose first name is Martin and an actor whose last name is Martin?,wh-subject
Alan Gegax,"Based on thousands of transcripts, Bloomberg found that at the recession's peak in 2009, frustrated CEOs increasingly did what on conference calls?",in-situ
Alan Herbst,"By definition, a barbershop quartet entertains by doing what?",in-situ
Alan Herbst,Babies born by in vitro fertilization are commonly known as what?,in-situ
Alan Herbst,Which of these colors does not appear on a traditional piece of candy corn?,wh-subject
Alan Herbst,"""PC"", a term used to describe speech that tries not to offend anyone, stands for ""politically"" what?",in-situ
Alan Herbst,"The caduceus, a staff entwined with two serpents, is the symbol for what profession?",in-situ
Alan Herbst,"In a famous Bible story, who does David defeat using a slingshot?",ex-situ
Alan Herbst,"In 1989, a 7.1 magnitude earthquake shook what World Series host city just before Game 5?",in-situ
Alan Herbst,"By definition, a baguette diamond is what shaped?",in-situ
Alan Herbst,"The classic book ""Anne of Green Gables"" takes place on Prince Edward Island, an island of what country?",in-situ
Alan Herbst,"In the 1700s, Alexander Hamilton was a founder and leader of what U.S. political party?",in-situ
Alan Herbst,A famous ballet written by composer Aaron Copland tells the story of what American outlaw?,in-situ
Alan Herbst,Doctors commonly use the Ishihara test to diagnose what condition?,in-situ
Alan Isenberg,"""The mice will play"" is the second half of a well-known idiom that begins, ""When the"" what?",in-situ
Alan Isenberg,"While on the job, a school crossing guard typically holds a sign that reads what?",in-situ
Alan Isenberg,Which of these apple varieties shares its name with a well-known mountain in Japan?,wh-subject
Alan Isenberg,"In a 1970 hit song, James Taylor sings, ""I've seen fire and I've seen"" what?",in-situ
Alan Isenberg,What aptly named unit of measure was once calculated by dragging a tied-up length of rope behind a boat?,wh-subject
Alan Isenberg,"The aptly named 2008 Broadway play ""Boeing-Boeing"" is a comedy about an architect who is engaged to three different what?",in-situ
Alan Isenberg,"In the 1970s, what popular sitcom broke ground by featuring the interracial couple Tom and Helen Willis?",wh-subject
Alan Isenberg,"In common business-speak, what food-related phrase refers to a single task or an easily-achieved goal?",wh-subject
Alan Isenberg,"What country is home to the Burj Dubai, an under-construction skyscraper that is slated to become the world's tallest building?",wh-subject
Alan Isenberg,Who is Liu Xiang?,wh-subject
Alan Isenberg,"Because of the human emotion it controls, the part of the brain technically called the ""amygdala"" is informally known as the what?",in-situ
Alan Isenberg,"Which of these creatures are prominently featured in Salvador Dali's famous 1931 painting, ""The Persistence of Memory""?",wh-subject
Alan Isenberg,"According to the U.S. Postal Service, which of the following is not one of the eleven methods by which it currently delivers mail?",wh-subject
Alan Shia,What fairy tale character trespasses into a house owned by a family of bears?,wh-subject
Alan Shia,"In the 1956 song ""Blue Suede Shoes,"" Elvis sings, ""Well it's one for the money, two for the"" what?",in-situ
Alan Shia,"According to their slogan, ""Bounty paper towels are what king of ""picker-upper""?",in-situ
Alan Shia,"Founded in 1932, Ethan Allen specializes in making and selling what?",in-situ
Alan Shia,"Which of these prefixes is also used as an adjective meaning ""nostalgic or old-fashioned""?",wh-subject
Alan Shia,"Often eaten during Jewish holiday meals, challah is a type of what?",in-situ
Alan Shia,Which of these marine animals uses a form of sonar to hunt for food?,wh-subject
Alan Shia,"Ikebana, the art of formal flower arrangement, is a traditional practice of what country?",in-situ
Alan Shia,What morning TV program premiered in 1952 with Dave Garroway as its host?,wh-subject
Alan Shia,"A famous auto racing venue, the Bonneville Salt Flats occupy over 30.000 acres of what U.S. state?",in-situ
Alan Shia,"In the U.S., women first voted in what presidential election?",in-situ
Alan Smith,What are the Florida Keys?,wh-subject
Alan Smith,"In the home, a dustpan is typically used in conjunction with a what?",in-situ
Alan Smith,"At the Muhammad Ali Center in Louisville, KY, what equipment is on display at the ""Train with Ali"" exhibit?",wh-subject
Alan Smith,A dance craze of the 1960's was named after which of these foods?,in-situ
Alan Smith,Which of these idioms derives from a phrase once commonly used by film editors?,wh-subject
Alan Smith,"Fittingly, which of these bands is not mentioned in Bowling for Soup's hit song ""1985""?",wh-subject
Alan Smith,"The mythological founders of Rome, the twins Romulus and Remus are said to have been nursed as infants by what type of animal?",in-situ
Alan Smith,"From 1885 to 1908, the former African state known as Congo Free State was controlled by Leopold II, the king of what country?",in-situ
Alan Smith,"Eggs will cause silverware to tarnish rapidly, as tarnish forms when silver interacts with compounds of what element?",in-situ
Alan Smith,"Unlike the English word ""email"", which refers to a type of electronic message, the French word ""émail"" literally means what?",in-situ
